100000
1 2 -1
3 4 0 -1
5 6 0 -1
7 8 1 -1
9 10 1 -1
11 12 2 -1
13 14 2 -1
15 16 3 -1
17 18 3 -1
19 20 4 -1
21 22 4 -1
23 24 5 -1
25 26 5 -1
27 28 6 -1
29 30 6 -1
31 32 7 -1
33 34 7 -1
35 36 8 -1
37 38 8 -1
39 40 9 -1
41 42 9 -1
43 44 10 -1
45 46 10 -1
47 48 11 -1
49 50 11 -1
51 52 12 -1
53 54 12 -1
55 56 13 -1
57 58 13 -1
59 60 14 -1
61 62 14 -1
63 64 15 -1
65 66 15 -1
67 68 16 -1
69 70 16 -1
71 72 17 -1
73 74 17 -1
75 76 18 -1
77 78 18 -1
79 80 19 -1
81 82 19 -1
83 84 20 -1
85 86 20 -1
87 88 21 -1
89 90 21 -1
91 92 22 -1
93 94 22 -1
95 96 23 -1
97 98 23 -1
99 100 24 -1
101 102 24 -1
103 104 25 -1
105 106 25 -1
107 108 26 -1
109 110 26 -1
111 112 27 -1
113 114 27 -1
115 116 28 -1
117 118 28 -1
119 120 29 -1
121 122 29 -1
123 124 30 -1
125 126 30 -1
127 128 31 -1
129 130 31 -1
131 132 32 -1
133 134 32 -1
135 136 33 -1
137 138 33 -1
139 140 34 -1
141 142 34 -1
143 144 35 -1
145 146 35 -1
147 148 36 -1
149 150 36 -1
151 152 37 -1
153 154 37 -1
155 156 38 -1
157 158 38 -1
159 160 39 -1
161 162 39 -1
163 164 40 -1
165 166 40 -1
167 168 41 -1
169 170 41 -1
171 172 42 -1
173 174 42 -1
175 176 43 -1
177 178 43 -1
179 180 44 -1
181 182 44 -1
183 184 45 -1
185 186 45 -1
187 188 46 -1
189 190 46 -1
191 192 47 -1
193 194 47 -1
195 196 48 -1
197 198 48 -1
199 200 49 -1
201 202 49 -1
203 204 50 -1
205 206 50 -1
207 208 51 -1
209 210 51 -1
211 212 52 -1
213 214 52 -1
215 216 53 -1
217 218 53 -1
219 220 54 -1
221 222 54 -1
223 224 55 -1
225 226 55 -1
227 228 56 -1
229 230 56 -1
231 232 57 -1
233 234 57 -1
235 236 58 -1
237 238 58 -1
239 240 59 -1
241 242 59 -1
243 244 60 -1
245 246 60 -1
247 248 61 -1
249 250 61 -1
251 252 62 -1
253 254 62 -1
255 256 63 -1
257 258 63 -1
259 260 64 -1
261 262 64 -1
263 264 65 -1
265 266 65 -1
267 268 66 -1
269 270 66 -1
271 272 67 -1
273 274 67 -1
275 276 68 -1
277 278 68 -1
279 280 69 -1
281 282 69 -1
283 284 70 -1
285 286 70 -1
287 288 71 -1
289 290 71 -1
291 292 72 -1
293 294 72 -1
295 296 73 -1
297 298 73 -1
299 300 74 -1
301 302 74 -1
303 304 75 -1
305 306 75 -1
307 308 76 -1
309 310 76 -1
311 312 77 -1
313 314 77 -1
315 316 78 -1
317 318 78 -1
319 320 79 -1
321 322 79 -1
323 324 80 -1
325 326 80 -1
327 328 81 -1
329 330 81 -1
331 332 82 -1
333 334 82 -1
335 336 83 -1
337 338 83 -1
339 340 84 -1
341 342 84 -1
343 344 85 -1
345 346 85 -1
347 348 86 -1
349 350 86 -1
351 352 87 -1
353 354 87 -1
355 356 88 -1
357 358 88 -1
359 360 89 -1
361 362 89 -1
363 364 90 -1
365 366 90 -1
367 368 91 -1
369 370 91 -1
371 372 92 -1
373 374 92 -1
375 376 93 -1
377 378 93 -1
379 380 94 -1
381 382 94 -1
383 384 95 -1
385 386 95 -1
387 388 96 -1
389 390 96 -1
391 392 97 -1
393 394 97 -1
395 396 98 -1
397 398 98 -1
399 400 99 -1
401 402 99 -1
403 404 100 -1
405 406 100 -1
407 408 101 -1
409 410 101 -1
411 412 102 -1
413 414 102 -1
415 416 103 -1
417 418 103 -1
419 420 104 -1
421 422 104 -1
423 424 105 -1
425 426 105 -1
427 428 106 -1
429 430 106 -1
431 432 107 -1
433 434 107 -1
435 436 108 -1
437 438 108 -1
439 440 109 -1
441 442 109 -1
443 444 110 -1
445 446 110 -1
447 448 111 -1
449 450 111 -1
451 452 112 -1
453 454 112 -1
455 456 113 -1
457 458 113 -1
459 460 114 -1
461 462 114 -1
463 464 115 -1
465 466 115 -1
467 468 116 -1
469 470 116 -1
471 472 117 -1
473 474 117 -1
475 476 118 -1
477 478 118 -1
479 480 119 -1
481 482 119 -1
483 484 120 -1
485 486 120 -1
487 488 121 -1
489 490 121 -1
491 492 122 -1
493 494 122 -1
495 496 123 -1
497 498 123 -1
499 500 124 -1
501 502 124 -1
503 504 125 -1
505 506 125 -1
507 508 126 -1
509 510 126 -1
511 512 127 -1
513 514 127 -1
515 516 128 -1
517 518 128 -1
519 520 129 -1
521 522 129 -1
523 524 130 -1
525 526 130 -1
527 528 131 -1
529 530 131 -1
531 532 132 -1
533 534 132 -1
535 536 133 -1
537 538 133 -1
539 540 134 -1
541 542 134 -1
543 544 135 -1
545 546 135 -1
547 548 136 -1
549 550 136 -1
551 552 137 -1
553 554 137 -1
555 556 138 -1
557 558 138 -1
559 560 139 -1
561 562 139 -1
563 564 140 -1
565 566 140 -1
567 568 141 -1
569 570 141 -1
571 572 142 -1
573 574 142 -1
575 576 143 -1
577 578 143 -1
579 580 144 -1
581 582 144 -1
583 584 145 -1
585 586 145 -1
587 588 146 -1
589 590 146 -1
591 592 147 -1
593 594 147 -1
595 596 148 -1
597 598 148 -1
599 600 149 -1
601 602 149 -1
603 604 150 -1
605 606 150 -1
607 608 151 -1
609 610 151 -1
611 612 152 -1
613 614 152 -1
615 616 153 -1
617 618 153 -1
619 620 154 -1
621 622 154 -1
623 624 155 -1
625 626 155 -1
627 628 156 -1
629 630 156 -1
631 632 157 -1
633 634 157 -1
635 636 158 -1
637 638 158 -1
639 640 159 -1
641 642 159 -1
643 644 160 -1
645 646 160 -1
647 648 161 -1
649 650 161 -1
651 652 162 -1
653 654 162 -1
655 656 163 -1
657 658 163 -1
659 660 164 -1
661 662 164 -1
663 664 165 -1
665 666 165 -1
667 668 166 -1
669 670 166 -1
671 672 167 -1
673 674 167 -1
675 676 168 -1
677 678 168 -1
679 680 169 -1
681 682 169 -1
683 684 170 -1
685 686 170 -1
687 688 171 -1
689 690 171 -1
691 692 172 -1
693 694 172 -1
695 696 173 -1
697 698 173 -1
699 700 174 -1
701 702 174 -1
703 704 175 -1
705 706 175 -1
707 708 176 -1
709 710 176 -1
711 712 177 -1
713 714 177 -1
715 716 178 -1
717 718 178 -1
719 720 179 -1
721 722 179 -1
723 724 180 -1
725 726 180 -1
727 728 181 -1
729 730 181 -1
731 732 182 -1
733 734 182 -1
735 736 183 -1
737 738 183 -1
739 740 184 -1
741 742 184 -1
743 744 185 -1
745 746 185 -1
747 748 186 -1
749 750 186 -1
751 752 187 -1
753 754 187 -1
755 756 188 -1
757 758 188 -1
759 760 189 -1
761 762 189 -1
763 764 190 -1
765 766 190 -1
767 768 191 -1
769 770 191 -1
771 772 192 -1
773 774 192 -1
775 776 193 -1
777 778 193 -1
779 780 194 -1
781 782 194 -1
783 784 195 -1
785 786 195 -1
787 788 196 -1
789 790 196 -1
791 792 197 -1
793 794 197 -1
795 796 198 -1
797 798 198 -1
799 800 199 -1
801 802 199 -1
803 804 200 -1
805 806 200 -1
807 808 201 -1
809 810 201 -1
811 812 202 -1
813 814 202 -1
815 816 203 -1
817 818 203 -1
819 820 204 -1
821 822 204 -1
823 824 205 -1
825 826 205 -1
827 828 206 -1
829 830 206 -1
831 832 207 -1
833 834 207 -1
835 836 208 -1
837 838 208 -1
839 840 209 -1
841 842 209 -1
843 844 210 -1
845 846 210 -1
847 848 211 -1
849 850 211 -1
851 852 212 -1
853 854 212 -1
855 856 213 -1
857 858 213 -1
859 860 214 -1
861 862 214 -1
863 864 215 -1
865 866 215 -1
867 868 216 -1
869 870 216 -1
871 872 217 -1
873 874 217 -1
875 876 218 -1
877 878 218 -1
879 880 219 -1
881 882 219 -1
883 884 220 -1
885 886 220 -1
887 888 221 -1
889 890 221 -1
891 892 222 -1
893 894 222 -1
895 896 223 -1
897 898 223 -1
899 900 224 -1
901 902 224 -1
903 904 225 -1
905 906 225 -1
907 908 226 -1
909 910 226 -1
911 912 227 -1
913 914 227 -1
915 916 228 -1
917 918 228 -1
919 920 229 -1
921 922 229 -1
923 924 230 -1
925 926 230 -1
927 928 231 -1
929 930 231 -1
931 932 232 -1
933 934 232 -1
935 936 233 -1
937 938 233 -1
939 940 234 -1
941 942 234 -1
943 944 235 -1
945 946 235 -1
947 948 236 -1
949 950 236 -1
951 952 237 -1
953 954 237 -1
955 956 238 -1
957 958 238 -1
959 960 239 -1
961 962 239 -1
963 964 240 -1
965 966 240 -1
967 968 241 -1
969 970 241 -1
971 972 242 -1
973 974 242 -1
975 976 243 -1
977 978 243 -1
979 980 244 -1
981 982 244 -1
983 984 245 -1
985 986 245 -1
987 988 246 -1
989 990 246 -1
991 992 247 -1
993 994 247 -1
995 996 248 -1
997 998 248 -1
999 1000 249 -1
1001 1002 249 -1
1003 1004 250 -1
1005 1006 250 -1
1007 1008 251 -1
1009 1010 251 -1
1011 1012 252 -1
1013 1014 252 -1
1015 1016 253 -1
1017 1018 253 -1
1019 1020 254 -1
1021 1022 254 -1
1023 1024 255 -1
1025 1026 255 -1
1027 1028 256 -1
1029 1030 256 -1
1031 1032 257 -1
1033 1034 257 -1
1035 1036 258 -1
1037 1038 258 -1
1039 1040 259 -1
1041 1042 259 -1
1043 1044 260 -1
1045 1046 260 -1
1047 1048 261 -1
1049 1050 261 -1
1051 1052 262 -1
1053 1054 262 -1
1055 1056 263 -1
1057 1058 263 -1
1059 1060 264 -1
1061 1062 264 -1
1063 1064 265 -1
1065 1066 265 -1
1067 1068 266 -1
1069 1070 266 -1
1071 1072 267 -1
1073 1074 267 -1
1075 1076 268 -1
1077 1078 268 -1
1079 1080 269 -1
1081 1082 269 -1
1083 1084 270 -1
1085 1086 270 -1
1087 1088 271 -1
1089 1090 271 -1
1091 1092 272 -1
1093 1094 272 -1
1095 1096 273 -1
1097 1098 273 -1
1099 1100 274 -1
1101 1102 274 -1
1103 1104 275 -1
1105 1106 275 -1
1107 1108 276 -1
1109 1110 276 -1
1111 1112 277 -1
1113 1114 277 -1
1115 1116 278 -1
1117 1118 278 -1
1119 1120 279 -1
1121 1122 279 -1
1123 1124 280 -1
1125 1126 280 -1
1127 1128 281 -1
1129 1130 281 -1
1131 1132 282 -1
1133 1134 282 -1
1135 1136 283 -1
1137 1138 283 -1
1139 1140 284 -1
1141 1142 284 -1
1143 1144 285 -1
1145 1146 285 -1
1147 1148 286 -1
1149 1150 286 -1
1151 1152 287 -1
1153 1154 287 -1
1155 1156 288 -1
1157 1158 288 -1
1159 1160 289 -1
1161 1162 289 -1
1163 1164 290 -1
1165 1166 290 -1
1167 1168 291 -1
1169 1170 291 -1
1171 1172 292 -1
1173 1174 292 -1
1175 1176 293 -1
1177 1178 293 -1
1179 1180 294 -1
1181 1182 294 -1
1183 1184 295 -1
1185 1186 295 -1
1187 1188 296 -1
1189 1190 296 -1
1191 1192 297 -1
1193 1194 297 -1
1195 1196 298 -1
1197 1198 298 -1
1199 1200 299 -1
1201 1202 299 -1
1203 1204 300 -1
1205 1206 300 -1
1207 1208 301 -1
1209 1210 301 -1
1211 1212 302 -1
1213 1214 302 -1
1215 1216 303 -1
1217 1218 303 -1
1219 1220 304 -1
1221 1222 304 -1
1223 1224 305 -1
1225 1226 305 -1
1227 1228 306 -1
1229 1230 306 -1
1231 1232 307 -1
1233 1234 307 -1
1235 1236 308 -1
1237 1238 308 -1
1239 1240 309 -1
1241 1242 309 -1
1243 1244 310 -1
1245 1246 310 -1
1247 1248 311 -1
1249 1250 311 -1
1251 1252 312 -1
1253 1254 312 -1
1255 1256 313 -1
1257 1258 313 -1
1259 1260 314 -1
1261 1262 314 -1
1263 1264 315 -1
1265 1266 315 -1
1267 1268 316 -1
1269 1270 316 -1
1271 1272 317 -1
1273 1274 317 -1
1275 1276 318 -1
1277 1278 318 -1
1279 1280 319 -1
1281 1282 319 -1
1283 1284 320 -1
1285 1286 320 -1
1287 1288 321 -1
1289 1290 321 -1
1291 1292 322 -1
